Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural gas,Large hydro,Batteries,Imports,Other
00:00,0,4330,899,397,226,493,17,2273,4687,4079,34,6185,0
00:05,0,4340,895,397,229,467,17,2274,4660,4243,62,6066,0
00:10,0,4346,895,395,231,465,18,2273,4434,4317,79,5997,0
00:15,0,4337,897,395,231,465,17,2273,4390,4272,-32,6098,0
00:20,0,4316,896,396,232,465,16,2274,4350,4272,-17,6125,0
00:25,0,4303,896,394,232,464,17,2273,4199,4287,-6,6063,0
00:30,0,4271,897,391,232,463,17,2272,4043,4309,45,6118,0
00:35,0,4198,897,392,232,464,17,2273,4013,4316,77,6078,0
00:40,0,4150,897,392,232,464,17,2273,3943,4300,6,6036,0
00:45,0,4079,898,393,232,464,16,2273,3987,4296,-11,5993,0
00:50,0,4015,897,396,232,463,16,2274,3993,4277,-12,6000,0
00:55,0,3988,897,395,232,441,16,2274,3973,4285,-9,5943,0
01:00,0,3964,898,395,232,421,16,2274,3912,4268,-6,5837,0
01:05,0,3955,898,396,232,421,17,2274,3972,4114,-6,5800,0
01:10,0,3924,895,397,232,421,17,2274,4004,4084,-7,5788,0
01:15,0,3908,894,398,232,421,16,2274,3961,4059,-17,5795,0
01:20,0,3907,896,398,233,421,17,2273,3904,4018,-30,5835,0
01:25,0,3952,891,397,233,420,17,2274,3876,3996,-52,5788,0
01:30,0,3970,896,398,232,420,17,2275,3876,4030,-19,5650,0
01:35,0,4002,895,397,232,420,17,2274,3735,4031,-22,5600,0
01:40,0,4013,894,401,232,419,17,2275,3569,4064,-7,5644,0
01:45,0,4031,896,401,232,419,17,2273,3482,4078,8,5669,0
01:50,0,4012,896,400,232,420,17,2274,3474,4059,12,5658,0
01:55,0,4040,896,399,232,419,17,2274,3474,4044,-9,5516,0
02:00,0,4058,895,398,233,419,16,2274,3615,3989,-43,5284,0
02:05,0,4089,894,398,232,416,16,2274,3804,3936,-56,5117,0
02:10,0,4100,894,400,233,415,16,2273,3710,3936,-8,5082,0
02:15,0,4120,894,400,233,416,16,2274,3629,3924,0,5060,0
02:20,0,4131,894,400,233,416,16,2274,3554,3916,0,5084,0
02:25,0,4109,894,402,233,417,16,2274,3494,3928,0,5110,0
02:30,0,4076,893,404,233,417,17,2274,3508,3948,0,5063,0
02:35,0,4053,894,403,233,417,17,2275,3419,3956,0,5117,0
02:40,0,4052,895,402,233,417,17,2275,3348,3957,0,5147,0
